time,open,high,low,close,volume
2023-02-28 05:00:00,88.74,88.74,87.87,88.16,63587
2023-02-27 20:00:00,89.52,89.8,89.45,89.7,29916
2023-02-27 19:00:00,89.25,89.5,89.25,89.45,41957
2023-02-27 18:00:00,89.1457,89.38,89.1,89.3275,165057
2023-02-27 17:00:00,89.25,89.5233,89.16,89.21,2439246
2023-02-27 16:00:00,89.29,89.41,88.98,89.27,3696715
2023-02-27 15:00:00,89.19,89.34,89.038,89.29,1516077
2023-02-27 14:00:00,89.215,89.26,88.895,89.18,1804863
2023-02-27 13:00:00,89.395,89.4227,89.1346,89.2161,1437116
2023-02-27 12:00:00,89.41,89.54,89.125,89.3999,2686593
2023-02-27 11:00:00,89.79,89.96,89.13,89.415,4575603
2023-02-27 10:00:00,91.09,91.24,89.0,89.83,6158480
2023-02-27 09:00:00,90.9,91.17,90.61,91.07,232629
2023-02-27 08:00:00,90.95,90.99,90.61,90.64,92962
2023-02-27 07:00:00,90.97,90.97,90.85,90.95,16881
2023-02-27 06:00:00,90.89,91.06,90.89,90.97,28819
2023-02-27 05:00:00,90.58,91.3,90.58,90.98,55382
2023-02-24 20:00:00,88.99,89.0,88.6999,88.6999,23691
2023-02-24 19:00:00,88.89,89.1,88.88,88.99,23000
2023-02-24 18:00:00,89.08,89.099,88.8,88.95,31220
2023-02-24 17:00:00,89.01,89.1999,88.7184,89.05,1633883
2023-02-24 16:00:00,89.02,89.25,88.57,89.0,4777451
2023-02-24 15:00:00,88.74,89.28,88.68,89.01,3150870
2023-02-24 14:00:00,88.32,89.16,88.195,88.745,3053136
2023-02-24 13:00:00,89.54,89.55,88.03,88.334,5074276
2023-02-24 12:00:00,90.38,90.5938,89.26,89.54,4800815
2023-02-24 11:00:00,90.63,90.92,89.78,90.38,4806861
2023-02-24 10:00:00,90.82,91.68,89.72,90.63,7294644
2023-02-24 09:00:00,92.0,92.4,90.4,90.82,492200
2023-02-24 08:00:00,91.98,92.08,91.75,91.75,80942
2023-02-24 07:00:00,92.04,92.1,91.81,91.83,31838
2023-02-24 06:00:00,91.87,92.2,91.8,92.05,28010
