,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2017-09-20,180.02,180.5,176.151,177.95,177.95,15396680,0.0000,1.0
2017-09-19,180.69,180.87,179.25,180.07,180.07,14751937,0.0000,1.0
2017-09-18,178.89,180.29,177.75,179.98,179.98,22919809,0.0000,1.0
2017-09-15,177.9,179.75,176.7,176.7,176.7,26108517,0.0000,1.0
2017-09-14,177.54,179.93,176.02,177.1,177.1,22827671,0.0000,1.0
2017-09-13,175.75,179.1,175.56,178.97,178.97,22060679,0.0000,1.0
2017-09-12,174.89,175.62,173.37,175.31,175.31,15629672,0.0000,1.0
2017-09-11,171.5,174.2,171.5,174.06,174.06,18052841,0.0000,1.0
2017-09-08,169.99,171.22,168.92,169.0,169.0,12188409,0.0000,1.0
2017-09-07,169.26,170.97,168.0,170.48,170.48,15141851,0.0000,1.0
2017-09-06,170.17,171.11,167.0,168.14,168.14,19988321,0.0000,1.0
2017-09-05,169.47,171.93,168.738,169.92,169.92,14943593,0.0000,1.0
2017-09-01,171.99,172.386,170.65,171.04,171.04,11140426,0.0000,1.0
2017-08-31,172.54,172.9,170.25,171.74,171.74,16305445,0.0000,1.0
2017-08-30,169.15,172.39,169.15,171.25,171.25,17264095,0.0000,1.0
2017-08-29,165.15,169.23,164.35,167.41,167.41,19466550,0.0000,1.0
2017-08-28,171.15,171.34,167.06,168.3,168.3,24319256,0.0000,1.0
2017-08-25,174.8,174.94,171.11,171.74,171.74,24082098,0.0000,1.0
2017-08-24,177.0,177.0,174.3,175.0,175.0,20331241,0.0000,1.0
2017-08-23,172.9,176.23,172.75,175.8,175.8,21874220,0.0000,1.0
2017-08-22,170.02,174.77,169.64,174.46,174.46,24381625,0.0000,1.0
2017-08-21,168.29,170.6,166.98,169.25,169.25,22254365,0.0000,1.0
2017-08-18,165.36,169.5,164.1,167.5,167.5,31405199,0.0000,1.0
2017-08-17,166.12,168.0,163.51,163.92,163.92,56610614,0.0000,1.0
2017-08-16,160.0,160.35,158.535,159.5,159.5,21119649,0.0000,1.0
2017-08-15,155.74,158.32,154.0,157.75,157.75,18564323,0.0000,1.0
2017-08-14,154.77,155.08,153.1,154.61,154.61,14571597,0.0000,1.0
2017-08-11,150.51,152.57,147.5,151.7,151.7,22327427,0.0000,1.0
2017-08-10,156.2,156.5,151.25,151.77,151.77,18252160,0.0000,1.0
2017-08-09,156.05,157.71,155.2,157.49,157.49,11022555,0.0000,1.0
2017-08-08,158.56,159.84,156.8,157.5,157.5,15447059,0.0000,1.0
2017-08-07,154.83,158.99,154.37,158.84,158.84,15906365,0.0000,1.0
2017-08-04,154.32,154.32,152.16,153.33,153.33,10035631,0.0000,1.0
2017-08-03,152.1,153.8,149.6,153.32,153.32,12360035,0.0000,1.0
2017-08-02,155.47,155.75,149.1,151.91,151.91,19089316,0.0000,1.0
2017-08-01,156.25,156.61,153.8,154.73,154.73,11990894,0.0000,1.0
2017-07-31,158.9,159.39,153.5,154.95,154.95,17660855,0.0000,1.0
2017-07-28,153.96,158.96,152.82,157.56,157.56,14226158,0.0000,1.0
2017-07-27,157.85,160.39,151.33,154.15,154.15,25971950,0.0000,1.0
2017-07-26,152.53,156.0,152.36,155.79,155.79,14313363,0.0000,1.0
2017-07-25,152.36,152.75,150.85,152.44,152.44,8460318,0.0000,1.0
2017-07-24,152.77,153.23,151.6,152.26,152.26,10628109,0.0000,1.0
2017-07-21,151.79,152.15,150.31,151.89,151.89,11437037,0.0000,1.0
2017-07-20,153.96,154.12,151.84,152.11,152.11,16571122,0.0000,1.0
2017-07-19,155.14,156.41,152.64,153.15,153.15,16896075,0.0000,1.0
2017-07-18,151.08,154.6,150.48,153.75,153.75,15313034,0.0000,1.0
2017-07-17,153.53,153.7,150.42,151.23,151.23,15275841,0.0000,1.0
2017-07-14,150.12,152.25,149.69,151.83,151.83,11438003,0.0000,1.0
2017-07-13,149.52,150.0,148.0,149.52,149.52,11671262,0.0000,1.0
2017-07-12,147.38,149.3,146.85,149.0,149.0,14940777,0.0000,1.0
2017-07-11,144.29,145.87,143.26,145.81,145.81,12856565,0.0000,1.0
2017-07-10,143.0,144.16,142.25,143.81,143.81,10169612,0.0000,1.0
2017-07-07,142.65,143.379,141.831,142.43,142.43,8024725,0.0000,1.0
2017-07-06,143.01,143.62,141.83,142.2,142.2,11914236,0.0000,1.0
2017-07-05,141.16,145.0,140.33,144.87,144.87,16984797,0.0000,1.0
2017-07-03,141.75,142.49,139.495,140.99,140.99,6975712,0.0000,1.0
2017-06-30,141.03,142.38,139.92,140.9,140.9,12271061,0.0000,1.0
2017-06-29,143.16,143.56,137.52,140.81,140.81,24130279,0.0000,1.0
2017-06-28,142.65,144.37,141.48,143.95,143.95,14949665,0.0000,1.0
2017-06-27,143.9,144.38,141.1,141.53,141.53,16834086,0.0000,1.0
2017-06-26,144.03,145.36,141.27,142.73,142.73,17638227,0.0000,1.0
2017-06-23,142.1,143.34,141.6,143.01,143.01,11717653,0.0000,1.0
2017-06-22,142.05,144.68,140.88,142.27,142.27,21868704,0.0000,1.0
2017-06-21,138.82,143.5,138.02,143.29,143.29,25827496,0.0000,1.0
2017-06-20,140.08,140.63,137.93,138.38,138.38,20580535,0.0000,1.0
2017-06-19,137.81,140.4,137.4,139.47,139.47,24937608,0.0000,1.0
2017-06-16,136.28,136.5,133.55,134.87,134.87,36431311,0.0000,1.0
2017-06-15,135.64,135.67,133.1,135.08,135.08,30510350,0.0000,1.0
2017-06-14,137.8,139.25,135.26,136.67,136.67,32842301,0.0000,1.0
2017-06-13,141.88,142.244,135.9,136.6,136.6,40879593,0.0000,1.0
2017-06-12,139.17,139.39,136.05,139.08,139.08,32166802,0.0000,1.0
2017-06-09,142.34,148.29,137.01,139.44,139.44,54367382,0.0000,1.0
2017-06-08,142.51,143.7,135.21,142.34,142.34,81381531,0.0000,1.0
2017-06-07,125.08,125.91,124.11,125.64,125.64,9429562,0.0000,1.0
2017-06-06,125.37,126.2,124.27,124.62,124.62,9257144,0.0000,1.0
2017-06-05,124.02,125.56,123.87,125.37,125.37,10030644,0.0000,1.0
2017-06-02,123.72,124.53,123.24,124.13,124.13,7341560,0.0000,1.0
2017-06-01,122.82,124.0,122.26,123.97,123.97,8897842,0.0000,1.0
2017-05-31,123.64,124.175,122.0,122.46,122.46,11582152,0.0000,1.0
2017-05-30,124.08,124.88,123.53,123.91,123.91,8343401,0.0000,1.0
2017-05-26,123.93,124.65,123.1,123.99,123.99,7558893,0.0000,1.0
2017-05-25,123.74,124.45,122.31,123.63,123.63,12482509,0.0000,1.0
2017-05-24,123.07,123.684,121.95,122.81,122.81,8375246,0.0000,1.0
2017-05-23,124.67,125.675,122.85,122.93,122.93,14370124,0.0000,1.0
2017-05-22,124.98,125.59,123.555,124.75,124.75,13485165,0.0000,1.0
2017-05-19,123.96,126.4,123.07,123.22,123.22,21101695,0.0000,1.0
2017-05-18,116.31,122.63,114.0,121.27,121.27,37121943,0.0000,1.0
2017-05-17,123.25,123.89,120.5,120.72,120.72,19834651,0.0000,1.0
2017-05-16,121.98,124.34,121.74,124.02,124.02,18222134,0.0000,1.0
2017-05-15,121.03,121.49,120.031,121.4,121.4,11120914,0.0000,1.0
2017-05-12,120.16,120.468,119.51,120.34,120.34,9823899,0.0000,1.0
2017-05-11,120.13,120.5,118.25,120.16,120.16,11375510,0.0000,1.0
2017-05-10,120.01,120.33,119.1,119.98,119.98,9347289,0.0000,1.0
2017-05-09,118.62,120.0,118.07,120.0,120.0,15219945,0.0000,1.0
2017-05-08,116.9,117.51,116.2,116.86,116.86,6461932,0.0000,1.0
2017-05-05,116.05,116.15,114.8,116.04,116.04,7099447,0.0000,1.0
2017-05-04,115.94,116.41,115.15,115.86,115.86,6977734,0.0000,1.0
2017-05-03,117.95,118.0,115.12,116.57,116.57,10590212,0.0000,1.0
2017-05-02,117.07,118.69,117.0,118.09,118.09,10048174,0.0000,1.0
2017-05-01,115.63,117.24,115.5,116.68,116.68,7332129,0.0000,1.0
2017-04-28,115.9,115.99,115.0,115.5,115.5,6984928,0.0000,1.0
2017-04-27,115.0,115.96,114.83,115.43,115.43,9441465,0.0000,1.0
2017-04-26,115.37,115.75,114.622,114.97,114.97,6678780,0.0000,1.0
2017-04-25,115.54,115.82,114.8,115.48,115.48,11434602,0.0000,1.0
2017-04-24,114.04,115.16,114.02,114.86,114.86,13386574,0.0000,1.0
2017-04-21,112.8,113.17,112.3,113.11,113.11,8968296,0.0000,1.0
2017-04-20,111.53,113.6,111.48,112.96,112.96,13773052,0.0000,1.0
2017-04-19,111.99,112.2,110.57,110.76,110.76,9603782,0.0000,1.0
2017-04-18,111.2,112.2,110.867,111.23,111.23,8305129,0.0000,1.0
2017-04-17,110.91,111.87,110.3,111.76,111.76,7128051,0.0000,1.0
2017-04-13,110.72,111.45,109.82,110.21,110.21,6857001,0.0000,1.0
2017-04-12,110.5,111.7,110.31,110.63,110.63,8099810,0.0000,1.0
2017-04-11,111.4,111.79,109.46,110.44,110.44,10011311,0.0000,1.0
2017-04-10,109.0,111.88,108.84,111.7,111.7,14798611,0.0000,1.0
2017-04-07,107.88,109.07,106.76,108.99,108.99,8351378,0.0000,1.0
2017-04-06,107.59,108.42,107.15,108.04,108.04,5211109,0.0000,1.0
2017-04-05,108.36,108.82,107.32,107.44,107.44,8205387,0.0000,1.0
2017-04-04,107.87,108.26,106.88,107.52,107.52,6478924,0.0000,1.0
2017-04-03,108.85,109.47,107.52,108.09,108.09,7790051,0.0000,1.0
2017-03-31,108.5,109.119,107.78,107.83,107.83,9002786,0.0000,1.0
2017-03-30,109.729,110.45,108.66,108.85,108.85,10592470,0.0000,1.0
2017-03-29,107.97,109.74,107.69,109.51,109.51,8788720,0.0000,1.0
2017-03-28,108.23,108.95,107.46,107.8,107.8,6469277,0.0000,1.0
2017-03-27,106.65,108.19,106.51,108.08,108.08,7709376,0.0000,1.0
2017-03-24,108.4,109.13,107.23,108.04,108.04,7577320,0.0000,1.0
2017-03-23,106.95,108.83,106.44,108.25,108.25,13410771,0.0000,1.0
2017-03-22,104.64,106.12,103.98,106.09,106.09,7153035,0.0000,1.0
2017-03-21,108.46,108.7,104.7,105.09,105.09,13877719,0.0000,1.0
2017-03-20,106.23,108.2,105.94,107.25,107.25,12447932,0.0000,1.0
2017-03-17,105.17,106.5,104.86,105.61,105.61,8778885,0.0000,1.0
2017-03-16,105.25,105.65,104.301,105.63,105.63,12445226,0.0000,1.0
2017-03-15,104.37,104.49,102.6,103.69,103.69,11695195,0.0000,1.0
2017-03-14,104.61,106.0,103.822,104.25,104.25,7748369,0.0000,1.0
2017-03-13,103.52,106.25,103.47,105.18,105.18,16118945,0.0000,1.0
2017-03-10,103.43,103.7,102.63,103.39,103.39,4119480,0.0000,1.0
2017-03-09,102.97,103.75,102.76,103.24,103.24,4523635,0.0000,1.0
2017-03-08,102.63,104.29,102.54,103.22,103.22,7066707,0.0000,1.0
2017-03-07,102.3,103.308,102.11,102.63,102.63,4984972,0.0000,1.0
2017-03-06,102.76,103.25,102.1,102.31,102.31,6290674,0.0000,1.0
2017-03-03,102.99,103.42,102.44,103.31,103.31,6320936,0.0000,1.0
